,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause
4763,-123.353013975,42.235005197000106,2018/05/14 04:38:00+00,42.235,-123.353,Josephine,0.25,Human
4890,-123.968814669,45.4765053290001,2021/08/05 06:00:00+00,,,Tillamook,,
4952,-121.71101421600001,44.959705529000104,2014/07/16 00:39:00+00,,,Wasco,1.0,
4992,-121.56601407,44.327805503,2015/03/06 22:05:00+00,,,Deschutes,,
4993,-121.32171397100001,44.005875505000105,2019/08/08 19:30:20+00,44.00587,-121.3217,Deschutes,0.1,Human
5043,-118.67701384,45.6302158780001,2020/12/20 20:48:00+00,45.63021,-118.677,Umatilla,0.1,Unknown
5057,-122.748613976,42.778055288000104,2018/07/15 15:24:59+00,42.77805,-122.7486,Jackson,0.1,Natural
5084,-123.173014271,44.070005329,2015/12/01 21:58:00+00,44.07,-123.1731,Lane,,Undetermined
5090,-122.65529161299999,42.0152830230001,2016/06/24 22:01:00+00,,,Jackson,,
5097,-121.69241393200001,43.465075433,2019/08/30 19:00:14+00,43.465070000000004,-121.6924,Klamath,0.1,Unknown
5113,-122.368347159,42.246116397,2016/08/30 23:52:59+00,,,Jackson,,
5163,-123.16901426700001,44.048305328000005,2015/12/01 23:44:00+00,44.0483,-123.1689,Lane,,Undetermined
5205,-121.266402995,44.76028334000011,2022/07/05 05:55:00+00,,,Jefferson,,
5247,-122.363069467,42.744171988000105,2020/10/30 21:20:00+00,,,Jackson,,
5339,-119.56481385200001,44.915435738999996,2017/06/27 00:21:59+00,44.91752,-119.5421,Grant,,Undetermined
5347,-123.543902885,42.188616288,2022/02/14 15:49:59+00,,,Josephine,,
5378,-118.95871365200001,44.415295761,2017/08/26 16:52:28+00,44.41529,-118.9587,Grant,0.25,Undetermined
5379,-123.280200098,42.437502417000104,2021/06/28 15:14:59+00,,,Josephine,,
5383,-122.568713922,42.6205652940001,2017/07/26 18:52:00+00,42.62056,-122.5687,Jackson,0.1,Undetermined
5436,-118.08401360399999,44.972805888,2015/05/27 21:07:00+00,,,Baker,,
5445,-122.31172216200001,45.215222483999995,2022/10/06 01:34:00+00,,,Clackamas,,
5451,-119.178513693,44.432015741,2016/10/09 18:37:36+00,44.425290000000004,-119.1734,Grant,43.67,Human
5491,-122.94901425799999,44.1811353580001,2017/08/03 19:05:00+00,44.181129999999996,-122.949,Lane,1.5,Human
5520,-122.74789171200001,42.399052463000004,2022/06/30 23:24:00+00,,,Jackson,,
5544,-121.262014105,44.7600055610001,2015/07/05 05:54:00+00,,,Jefferson,,
5601,-121.14351406,44.630105564000104,2017/08/23 20:45:00+00,44.62893,-121.1386,Jefferson,1.3,Human
5650,-122.50718063299999,42.745472008,2021/04/29 00:00:00+00,,,Jackson,,
5695,-123.22281397399999,42.342855216,2018/07/15 15:00:00+00,42.34285,-123.2233,Jackson,0.1,Natural
5712,-122.568213934,42.6925052990001,2017/08/08 15:36:59+00,42.6925,-122.5682,Jackson,0.25,Undetermined
5747,-121.248903001,44.806950009,2020/04/18 03:36:59+00,,,Jefferson,,
5760,-122.524013886,42.450605286999995,2014/07/30 15:35:00+00,,,Jackson,,
5779,-123.620014255,43.621394159,2021/06/02 03:14:59+00,,,Douglas,110.0,Human
5783,-121.473069694,44.7555610960001,2020/04/18 18:59:59+00,,,Jefferson,,
5837,-123.19001427,44.0494053260001,2015/12/02 23:03:59+00,44.0494,-123.1901,Lane,,Undetermined
5841,-117.504013406,44.4767059050001,2014/08/14 09:26:00+00,,,Baker,,
5872,-122.606797157,42.193921962,2022/07/03 21:49:59+00,,,Jackson,,
5922,-122.479014305,44.7994054420001,2015/07/05 23:18:00+00,44.7994,-122.4794,Marion,,Undetermined
5985,-123.05811395399999,42.3702152330001,2017/08/10 23:44:00+00,42.37021,-123.0581,Jackson,0.1,Human
6064,-121.27306966100001,44.753338891999995,2021/06/30 12:48:00+00,,,Jefferson,,
6067,-121.04731406100001,44.7181055790001,2022/08/26 14:44:00+00,44.67006,-121.155,Jefferson,0.1,Human
6132,-122.61945832,42.567505286,2022/08/31 00:10:00+00,,,Jackson,,
6153,-124.470569826,42.760282927,2022/06/20 22:21:59+00,,,Curry,,
6203,-123.326402889,42.3419496060001,2022/06/27 23:27:00+00,,,Josephine,,
6270,-118.773713864,45.6624158700001,2019/09/24 19:09:00+00,45.662409999999994,-118.7737,Umatilla,0.3,Unknown
6271,-119.538013763,44.47440571,2014/07/30 00:30:00+00,,,Grant,,
6335,-121.25834757,45.5888945140001,2016/07/04 02:26:00+00,,,Wasco,300.0,Human
6358,-122.43901409700001,43.73470538,2015/08/07 14:51:59+00,43.7347,-122.4395,Lane,0.1,Human
6412,-121.269736328,44.7613944490001,2020/09/26 22:18:59+00,,,Jefferson,,
6415,-121.668014143,44.6233055120001,2015/10/31 18:40:00+00,,,Jefferson,,
6424,-121.18661396,44.063815522,2018/04/07 00:14:59+00,44.06381,-121.1866,Deschutes,0.1,Human
6440,-123.04101425299999,44.080005343,2015/12/01 23:16:59+00,44.08,-123.0409,Lane,,Undetermined
6487,-118.064613595,44.9404658870001,2020/10/28 23:54:54+00,44.934259999999995,-118.0811,Baker,1.35,Human
6692,-123.188069829,44.063894217,2016/06/13 17:50:00+00,,,Lane,,
6741,-122.733014057,43.261905321,2015/06/28 19:40:00+00,,,Douglas,,
6743,-123.16918093299999,44.0458386610001,2016/11/05 22:51:59+00,,,Lane,,
6781,-123.240413976,42.342775214,2018/07/15 15:00:00+00,42.34277,-123.2404,Josephine,2.0,Natural
6789,-121.606813945,43.6149754510001,2022/05/15 23:41:00+00,43.61529,-121.6051,Klamath,0.25,Undetermined
6817,-121.26751410700001,44.765838894000105,2021/07/13 08:00:00+00,,,Jefferson,,
6836,-121.28701363100001,42.0653053710001,2014/06/19 20:58:59+00,,,Klamath,1361.0,Undetermined
6883,-120.344733499,42.188895464,2017/07/24 22:14:00+00,,,Lake,602.0,
6898,-123.542214059,42.5708452010001,2017/06/04 14:50:00+00,42.570840000000004,-123.5422,Josephine,,Human
6909,-121.66201424,45.117505544,2014/07/22 01:44:00+00,,,Wasco,,
6949,-118.59201383899999,45.6997058910001,2015/06/28 23:45:59+00,,,Umatilla,,
6997,-123.29281404299999,42.691415232000104,2017/10/18 18:33:59+00,42.69141,-123.2928,Josephine,0.1,Human
7099,-118.590413255,42.506825645999996,2021/07/02 01:53:00+00,42.51338,-118.5952,Harney,11.0,Undetermined
7128,-121.883913805,42.556815353000005,2018/10/28 03:37:25+00,42.55162,-121.8868,Klamath,0.1,Unknown
7132,-123.20556954,42.422227445,2018/08/31 21:40:00+00,,,Jackson,,
7144,-122.50501387,42.3686052830001,2015/06/09 16:31:59+00,,,Jackson,,
7145,-118.007235875,45.290283697000106,2018/07/17 01:28:00+00,,,Union,,
7180,-121.27301410700001,44.76110556,2014/07/09 19:41:00+00,,,Jefferson,,
7199,-121.428314038,44.272065512,2018/08/18 01:53:41+00,44.26938,-121.5424,Deschutes,0.1,Unknown
7204,-121.61418421100001,45.013615542,2018/11/01 19:51:59+00,,,Wasco,,
7237,-123.12234727100001,42.4193385300001,2022/08/14 15:59:59+00,,,Jackson,,
7247,-121.670014206,44.9436166420001,2017/08/13 22:36:00+00,,,Wasco,,
7274,-121.271125217,44.759727782,2020/04/27 06:59:59+00,,,Jefferson,,
7289,-123.08401396,42.383605231,2015/06/09 16:15:00+00,,,Jackson,,
7334,-124.088904092,42.2927851330001,2018/08/04 20:00:00+00,,,Curry,,
7345,-122.788013869,42.1006052390001,2014/07/31 00:00:00+00,,,Jackson,,
7379,-123.50911404200001,42.4991152000001,2017/10/09 15:29:00+00,42.499109999999995,-123.5091,Josephine,0.1,Human
7384,-123.042014254,44.0856053430001,2015/12/02 00:01:59+00,44.0856,-123.042,Lane,,Undetermined
7560,-120.79001391700001,44.180605568000004,2015/08/08 22:40:00+00,,,Crook,,
7584,-123.32101426,43.891405303999996,2015/12/02 23:10:59+00,43.8914,-123.3215,Lane,,Undetermined
7595,-122.91226396,42.541471957000105,2020/09/17 22:37:00+00,,,Jackson,,
7600,-122.501413892,42.5070752930001,2017/09/06 22:44:59+00,42.50707,-122.5014,Jackson,0.1,Natural
7674,-121.346403004,44.743338883999996,2016/05/31 18:00:00+00,,,Jefferson,,
7700,-121.77001418399999,44.75000551000011,2014/07/31 17:00:59+00,,,Jefferson,,
7728,-117.866013291,43.4750057910001,2014/08/03 02:51:59+00,,,Malheur,,
7745,-123.709180946,43.495838543000005,2022/08/24 20:45:00+00,,,Douglas,,
7766,-117.81901348,44.5678058820001,2014/08/25 01:54:00+00,,,Baker,,
7997,-120.412013927,44.5639056310001,2014/10/14 23:03:00+00,,,Crook,,
8107,-121.650014232,45.0875055430001,2014/08/08 23:32:00+00,,,Wasco,,
8120,-121.96612532799999,44.7602832690001,2021/07/05 04:12:59+00,,,Marion,,
8142,-122.64301383200001,42.008905246,2014/07/30 00:59:59+00,,,Jackson,,
8180,-121.28731403200001,44.363905532,2018/07/03 20:41:10+00,44.36311,-121.2208,Deschutes,0.1,Human
8210,-122.765513883,42.2074152480001,2017/06/25 21:53:00+00,42.20932,-122.7695,Jackson,,Human
8228,-121.55501414,44.698616638000004,2022/08/10 16:52:00+00,,,Jefferson,,
8249,-124.11751422299999,43.0352273760001,2021/06/12 00:00:00+00,,,Coos,,
8256,-123.313914028,42.584445223,2018/06/29 16:38:59+00,42.58447,-123.3139,Josephine,1.0,Human
8436,-121.51112530700001,45.020283331,2020/08/23 00:01:59+00,,,Wasco,,
8444,-123.47911401200001,42.3459751930001,2017/05/29 15:01:59+00,42.34597,-123.4791,Josephine,0.1,Human
8446,-123.144614138,43.3639052890001,2019/06/27 17:06:59+00,43.3639,-123.1446,Douglas,0.1,Unknown
