,X,Y,FireDiscoveryDateTime,InitialLatitude,InitialLongitude,POOCounty,IncidentSize,FireCause,Temperature,Precipitation
48,-117.021113393,44.8745259830001,2018/07/02 17:16:59+00,44.87452,-117.0211,Baker,36.45,Unknown,70.0,0.0016666666666666668
49,-123.226014236,43.8383053100001,2015/07/20 02:29:59+00,,,Lane,,,67.4,0.008333333333333333
50,-121.534181189,44.965283547000105,2019/08/13 00:00:00+00,,,Wasco,,,68.5,0.024
51,-117.680013431,44.4389058850001,2014/08/14 14:18:00+00,,,Malheur,,,69.2,0.018000000000000002
52,-121.28862539100001,45.611116723000094,2016/06/21 00:21:59+00,,,Wasco,,,61.7,0.02066666666666667
53,-120.160013816,44.19720563,2014/07/13 22:46:00+00,,,Crook,,,69.8,0.012333333333333332
54,-121.46801418,44.9725055540001,2014/07/23 16:02:00+00,,,Wasco,,,71.5,0.019
55,-123.52688070200001,42.2427551820001,2020/08/01 21:04:00+00,,,Josephine,,,69.6,0.0016666666666666668
56,-123.50121398200001,42.143005177000106,2021/05/22 21:59:59+00,,,Josephine,,,55.3,0.014333333333333332
57,-121.266014105,44.75860556,2014/07/05 04:31:59+00,,,Jefferson,,,70.0,0.013333333333333334
58,-122.622313911,42.506255282,2017/08/11 02:50:00+00,42.50625,-122.6223,Jackson,7.5,Natural,72.0,0.010333333333333332
59,-121.28251410899999,44.765561115,2021/10/01 02:45:00+00,,,Jefferson,,,47.2,0.05266666666666667
60,-121.215014109,44.8219055690001,2014/07/11 10:31:00+00,,,Jefferson,,,70.0,0.013333333333333334
61,-120.81821394299999,44.293875573,2017/06/22 00:01:59+00,44.29864,-120.8163,Crook,10.0,Human,58.7,0.01933333333333333
62,-123.07056947299999,42.133894105,2016/06/20 20:32:00+00,,,Jackson,,,62.1,0.039
63,-118.77945831,45.667783648000096,2016/06/28 01:12:00+00,,,Umatilla,,,62.6,0.037000000000000005
64,-121.822013884,43.079405394,2014/07/07 19:36:00+00,,,Klamath,,,67.7,0.012666666666666666
